sex,agegrp,crudeNumber,crudeRate,ageAdjustedRate,appliedFilters
Females,25 to 29,"4,557",24.6,24.6,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Males,30 to 34,"17,787",85.6,85.6,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,30 to 34,"5,235",25.5,25.5,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Males,35 to 39,"20,081",91.5,91.5,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,35 to 39,"7,038",31.9,31.9,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Males,40 to 44,"21,663",95.6,95.6,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,40 to 44,"8,004",34.7,34.7,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Males,45 to 49,"19,417",94.0,94.0,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,45 to 49,"7,050",33.1,33.1,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Males,50 to 54,"14,808",80.9,80.9,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,50 to 54,"5,616",29.4,29.4,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Males,55 to 59,"10,476",74.3,74.3,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,55 to 59,"3,948",26.3,26.3,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Males,60 to 64,"7,660",70.9,70.9,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,60 to 64,"3,301",27.8,27.8,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Males,65 to 69,"6,997",78.6,78.6,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,65 to 69,"3,277",31.8,31.8,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Males,70 to 74,"7,653",98.0,98.0,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,70 to 74,"4,099",42.0,42.0,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Males,75 to 79,"8,928",144.5,144.5,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,75 to 79,"5,895",67.4,67.4,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Males,80 to 84,"8,672",220.9,220.9,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,80 to 84,"7,382",113.4,113.4,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Males,85 and up,"10,979",430.1,430.1,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,85 and up,"15,750",257.0,257.0,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Males,Unknown,286,0.0,0.0,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,Unknown,49,0.0,0.0,"Start Year: 2001, End Year: 2002, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
