stateName,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
Massachusetts,"2,963",46.1,43.2,6431559,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Michigan,"5,880",58.8,57.6,10001284,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Minnesota,"2,831",54.4,51.8,5207203,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Mississippi,"2,533",86.5,87.2,2928350,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Missouri,"4,276",72.6,70.7,5887612,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Montana,862,89.4,84.7,964706,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Nebraska,959,53.8,51.8,1783440,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Nevada,"1,912",73.5,74.6,2601072,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New Hampshire,706,53.8,51.5,1312540,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New Jersey,"3,481",40.1,39.1,8677885,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New Mexico,"1,952",98.1,99.1,1990070,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New York,"7,706",40.3,38.5,19132335,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
North Carolina,"6,220",68.2,68.2,9118037,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
North Dakota,397,60.8,56.3,652822,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Ohio,"6,948",60.4,58.8,11500468,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Oklahoma,"3,010",82.8,82.5,3634349,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Oregon,"2,439",65.5,62.2,3722417,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Pennsylvania,"7,960",63.4,59.5,12563937,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Rhode Island,550,52.0,46.7,1057315,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
South Carolina,"3,333",75.0,74.7,4444110,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
South Dakota,492,62.2,57.6,791623,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Tennessee,"4,742",76.8,76.2,6175727,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Texas,"13,565",56.9,59.6,23831983,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Utah,"1,610",62.0,68.4,2597746,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Vermont,411,65.9,61.8,623481,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Virginia,"4,305",55.5,55.5,7751000,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Washington,"3,825",59.2,58.1,6461587,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
West Virginia,"1,686",91.9,89.7,1834052,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Wisconsin,"3,633",64.8,61.7,5610775,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Wyoming,427,79.8,80.7,534876,"Start Year: 2007, End Year: 2007, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
