stateName,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
New Jersey,"11,120",7.5,7.2,149059055,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New Mexico,"6,917",20.3,20.3,34045001,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New York,"24,901",7.5,7.2,329978239,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
North Carolina,"20,102",12.7,12.4,158228514,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
North Dakota,"1,777",15.3,15.1,11617783,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Ohio,"24,008",12.3,12.0,195847427,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Oklahoma,"10,480",16.6,16.7,62983289,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Oregon,"11,023",17.1,16.4,64398526,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Pennsylvania,"27,273",12.7,12.2,214385499,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Rhode Island,"1,790",9.9,9.5,18004581,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
South Carolina,"10,425",13.5,13.2,77209351,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
South Dakota,"2,238",16.3,16.5,13755780,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Tennessee,"15,785",14.9,14.5,106294432,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Texas,"47,564",11.3,11.5,420482291,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Utah,"7,877",17.2,18.7,45740913,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Vermont,"1,651",15.6,14.8,10582731,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Virginia,"16,503",12.3,11.9,134216055,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Washington,"16,199",14.3,13.9,112924568,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
West Virginia,"5,139",16.5,15.8,31153644,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Wisconsin,"12,633",13.2,12.9,95820346,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Wyoming,"2,068",22.2,22.2,9308806,"Start Year: 2001, End Year: 2017, Suicide All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
