stateName,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
North Dakota,363,56.3,51.6,644705,"Start Year: 2004, End Year: 2004, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Ohio,"6,234",54.4,53.4,11452251,"Start Year: 2004, End Year: 2004, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Oklahoma,"2,739",77.7,77.5,3525233,"Start Year: 2004, End Year: 2004, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Oregon,"2,196",61.5,59.2,3569463,"Start Year: 2004, End Year: 2004, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Pennsylvania,"7,446",60.0,57.0,12410722,"Start Year: 2004, End Year: 2004, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Rhode Island,509,47.4,43.7,1074579,"Start Year: 2004, End Year: 2004, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
South Carolina,"2,948",70.0,70.2,4210921,"Start Year: 2004, End Year: 2004, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
South Dakota,561,72.8,70.0,770396,"Start Year: 2004, End Year: 2004, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Tennessee,"4,523",76.5,76.3,5910809,"Start Year: 2004, End Year: 2004, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Texas,"12,312",55.0,57.7,22394023,"Start Year: 2004, End Year: 2004, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Utah,"1,371",57.1,63.6,2401580,"Start Year: 2004, End Year: 2004, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Vermont,366,59.0,57.3,619920,"Start Year: 2004, End Year: 2004, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Virginia,"3,914",52.4,53.0,7475575,"Start Year: 2004, End Year: 2004, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Washington,"3,508",56.8,56.5,6178645,"Start Year: 2004, End Year: 2004, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
West Virginia,"1,516",83.5,80.9,1816438,"Start Year: 2004, End Year: 2004, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Wisconsin,"3,181",57.7,55.3,5514026,"Start Year: 2004, End Year: 2004, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Wyoming,358,70.3,69.9,509106,"Start Year: 2004, End Year: 2004, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
