    name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,last_update 
Sun Behavioral Houston,,7601 Fannin Street,,Houston,TX,77054,1905,Harris,713-796-2273,,,,http://www.sunhouston.com,29.6907876,-95.4005815,MH,2018-09-04 13:27:49.37
Excel Center,,2900 Commercial Center Boulevard,Suite 102,Katy,TX,77494,,Harris,281-647-0020,,281-647-0020 x0,,http://westoakshospital.com,29.7375155,-95.7785014,MH,2019-03-04 17:40:28.237
Innerwisdom Inc,,10777 Stella Link Road,,Houston,TX,77025,,Harris,713-592-9292,Intakes,713-592-9292 x133,713-592-9292 x131,http://www.innerwisdom.com,29.666789,-95.439057,MH,2017-02-27 11:25:37
Harris Center,Southeast Community Service Center,5901 Long Drive,,Houston,TX,77087,,Harris,713-970-4300,,,,http://www.mhmraharris.org/,29.6949938,-95.3244581,MH,2017-08-11 16:40:40.108
Fort Bend District Office,,12300 Parc Crest Drive ,,Stafford,TX,77477,,Fort Bend,713-861-4849,,,,http://www.familyhouston.org,29.6427777,-95.5687836,MH,2018-11-07 13:22:36.222
Westpark Springs Hospital,,6902 South Peek Road,,Richmond,TX,77407,,Fort Bend,832-535-2770,,,,http://www.westparksprings.com,29.6943361,-95.7610277,MH,2017-08-15 14:36:04.213
Corpus Christi Medical Center,Northwest,13725 NW Boulevard,,Corpus Christi,TX,78410,,Nueces,361-986-8200,,,,http://www.ccmedicalcenter.com,29.782971,-95.181288,MH,2017-02-27 11:25:37
Bayshore Medical Center,,4000 Spencer Highway,,Pasadena,TX,77504,,Harris,713-359-2000 x2585,,844-241-7650,,http://bayshoremedical.com/,29.6612444,-95.1837808,MH,2019-02-22 09:00:12.45
DePelchin Childrens Center,Richmond Campus,710 South 7th Street,,Richmond,TX,77469,,Fort Bend,281-342-4906,Intakes,713-558-6375,713-558-3980,http://www.depelchin.org,29.577922,-95.762254,MH,2017-02-27 11:25:37
Tri County Behavioral Healthcare,,2004 Truman Street,,Cleveland,TX,77327,,Liberty,281-432-3000,,800-550-8408,,http://www.TCBHC.org,30.334069,-95.069442,MH,2017-02-27 11:25:37
Shiloh Treatment Center,,3926 Bahler Road,,Manvel,TX,77578,,Brazoria,281-489-1290,,,,http://www.shilohtreatmentcenter.com,29.518488,-95.352522,MH,2017-02-27 11:25:37
Excel Center at Friendswood,,111 East Edgewood Drive,,Friendswood,TX,77546,,Galveston,281-648-1200,,,,http://westoakshospital.com/,29.534322,-95.204374,MH,2019-02-22 09:13:28.458
Family Houston,Bay Area District Office,1300 Bay Area Boulevard,Suite 240-A,Houston,TX,77058,,Harris,281-282-6045,,713-861-4849,,http://www.familyhouston.org,29.5601626,-95.1153189,MH,2018-11-07 13:22:25.392
UTMB Psychiatry,Webster Clinic,400 Texas Avenue,,Webster,TX,77598,,Harris,281-338-2798,,409-772-0220,,http://www.utmb.edu/psychiatry,29.5355181,-95.1257846,MH,2019-02-26 12:06:37.298
New Dimensions Day Treatment Centers,,1345 Space Park Drive,Suite C,Houston,TX,77058,,Harris,281-333-2284,,,800-685-9796,http://www.nddtreatment.com,29.5475507,-95.0978196,MH,2019-02-07 13:23:42.349
Bayes Achievement Center,,7517 Highway 75 South,,Huntsville,TX,77340,,Walker,936-291-3391,,,,http://www.bayescenter.com,30.666956,-95.511972,MH,2017-02-27 11:25:37
Devereux Foundation,,1150 Devereux Drive,,League City,TX,77573,,Galveston,281-335-1000,,800-373-0011,,http://www.devereux.org,29.506643,-95.106454,MH,2017-02-27 11:25:37
Tri County Behavioral Healthcare,,2000 Panther Lane,,Liberty,TX,77575,,Liberty,936-334-3299,,800-550-8408,,http://www.TCBHC.org,30.076264,-94.784234,MH,2017-02-27 11:25:37
Tri County Behavioral Healthcare,,7045 State Highway 75 South,,Huntsville,TX,77340,,Walker,936-291-5800,,800-550-8408,,http://www.tcbhc.org,30.6909066,-95.5269302,MH,2018-11-07 14:42:33.987
Gulf Coast Center,Northern Brazoria Comm Service Center,101 Brennen Lane,,Alvin,TX,77511,,Brazoria,281-331-4502,,800-643-0967,,http://gulfcoastcenter.org,29.4116459,-95.2432683,MH,2019-03-04 17:39:22.211
Gulf Coast Center,Mainland Community Service Center,7510 FM 1765,,Texas City,TX,77591,,Galveston,409-935-6083,,800-643-0967,,http://gulfcoastcenter.org,29.3794403,-94.9953292,MH,2019-03-04 17:39:21.164
Gulf Coast Center,Southern Brazoria Comm Service Center,101 Tigner Street,,Angleton,TX,77515,,Brazoria,979-848-0933,,800-643-0967,,http://gulfcoastcenter.org,29.1820669,-95.4347888,MH,2019-03-04 17:39:20.153
Central Texas Veterans Healthcare Sys,Bryan/College Station CBOC,1651 Rock Prarie Road,Suite 100,College Station,TX,77845,,Brazos,979-680-0361,,,,http://www.centraltexas.va.gov,30.5833403,-96.2898005,MH,2018-03-07 17:18:27.213
Burke Center ,Polk County Family Csl Association,1100 Ogletree Drive,,Livingston,TX,77351,,Polk,936-327-3786,Intakes,936-634-5010,866-242-4556,http://myburke.org,30.733975,-94.9402052,MH,2019-02-26 16:01:32.053
Gulf Coast Center,,123 Rosenberg Street,Suite 4,Galveston,TX,77550,,Galveston,409-763-2373,,800-643-0967,,http://gulfcoastcenter.org,29.3065514,-94.7970765,MH,2019-03-04 17:39:19.199
UTMB Outpatient Clinic,,400 Harborside Drive,,Galveston,TX,77555,,Galveston,409-772-0770,,,,http://www.utmb.edu/psychiatry,29.3148616,-94.7748219,MH,2018-11-07 14:44:39.524
University of TX Medical Branch Hosp,,301 University Boulevard,,Galveston,TX,77555,0188,Galveston,409-772-1011,,409-772-0770,,http://www.utmb.edu,29.3107498,-94.7758738,MH,2018-11-07 13:23:24.653
Sweeny Community Hospital,Senior Horizons/Counseling Associates,305 North McKinney Street,,Sweeny,TX,77480,,Brazoria,979-548-1500 x1550,Intakes,979-548-1550,979-548-1553,http://www.sweenyhospital.org/,29.0478738,-95.6917378,MH,2019-03-04 17:38:41.866
MEHOP Behavioral Health Clinic,,1700 Golden Avenue,,Bay City,TX,77414,,Matagorda,979-245-2008,,,,http://mehop.org/services/behavioral-health,28.9942447,-95.9704942,MH,2018-11-07 13:30:48.509
Matagorda Regional Medical Center,Behavioral Health,104 7th Street,,Bay City,TX,77414,,Matagorda,979-241-3452,,,979-245-6383,http://www.matagordaregional.org,28.980217,-95.991694,MH,2017-02-27 11:25:37
Spindletop Center,,2750 South 8th Street,,Beaumont,TX,77701,7719,Jefferson,409-839-1000,,,409-839-1063,http://www.spindletopcenter.org,30.0591748,-94.1252309,MH,2019-02-22 08:19:41.315
Baptist Hospitals of SE Texas ,Behavioral Health Center,3250 Fannin Street,,Beaumont,TX,77701,3903,Jefferson,409-212-7000,,,,http://www.bhset.net/our-services/behavioral-health/,30.0729569,-94.1225132,MH,2019-03-04 17:38:53.182
Spindletop Center Services,Hardin County,845 Highway 96 South,,Silsbee,TX,77656,5809,Hardin,409-839-1032,Intakes,409-839-1063,800-317-8097,http://www.spindletopcenter.org,30.3416821,-94.1495418,MH,2017-02-27 11:25:37
Medical Center of Southeast Texas,,2555 Jimmy Johnson Boulevard,,Port Arthur,TX,77640,,Jefferson,409-853-5729,,,,http://www.medicalcentersetexas.org/,29.9354166,-93.988752,MH,2019-03-04 17:39:03.673
Medical Center of Southeast Texas,Outpatient Behavioral Health Dept,2501 Jimmy Johnson Boulevard,Suite 140,Port Arthur,TX,77640,2009,Jefferson,409-853-5060,,,,http://www.medicalcentersetexas.org/,29.9347935,-93.9887197,MH,2019-03-04 17:39:04.66
Whispering Hills Achievement Center,,4110 FM 609,,Flatonia,TX,78941,,Fayette,361-865-3083,,,,http://www.whisperinghillstx.com/,29.7561773,-97.0459149,MH,2018-08-07 12:27:43.132
Spindletop Center,South County Outpatient Services,3401 57th Street,,Port Arthur,TX,77642,,Jefferson,409-813-8300,Intakes,800-937-8097,409-839-1000,http://www.stmhmr.org,29.9339805,-93.9573898,MH,2017-02-27 11:25:37
Jackson County Hosp District,,1013 South Wells Street,,Edna,TX,77957,,Jackson,361-782-7800,,361-782-7813,,http://www.jchd.org,28.969082,-96.635551,MH,2017-02-27 11:25:37
Spindletop Center,Orange,4305 Tejas Parkway,,Orange,TX,77632,1358,Orange,409-883-7074,Intakes,409-839-1063,800-317-5809,http://www.spindletopcenter.org,30.122587,-93.773499,MH,2017-02-27 11:25:37
Resolution Ranch Academy,,2274 County Road 203 Loop,,Cameron,TX,76520,,Milam,254-697-2422,,254-718-3364,,http://www.resolutionranch.com,30.8703511,-97.0307609,MH,2018-01-26 10:40:17.643
Texas VA Healthcare System,Palestine CBOC,2000 South Loop 256,Suite 124,Palestine,TX,75801,,Anderson,903-723-9006,,,,http://www.centraltexas.va.gov,31.7343943,-95.6090087,MH,2018-03-07 17:18:21.34
ACCESS ,Palestine,2320 South Loop 256,,Palestine,TX,75801,,Anderson,903-723-6136,,,,http://www.accessmhmr.org,31.734196,-95.614674,MH,2019-02-07 13:22:35.001
Heart of Texas Region MHMR Center,Falls County Office,365 Coleman Street,,Marlin,TX,76661,,Falls,866-752-3451,,254-752-3451,,http://www.hotrmhmr.org,31.3077449,-96.8931416,MH,2019-02-07 13:47:11.447
Gulf Bend MH/MR Center,,6502 Nursery Drive,Suite 100,Victoria,TX,77904,,Victoria,361-575-0611,,,,http://gulfbend.org,28.8536164,-97.0202334,MH,2019-02-07 13:49:41.258
Heart of Texas Region MHMR Center,Freestone County Office,622 West Main Street,,Fairfield,TX,75840,,Freestone,866-752-3451,,254-752-3451,,http://www.hotrmhmr.org,31.7267356,-96.1707138,MH,2019-02-07 13:47:51.159
Burke Center,Nacogdoches Mental Health Services ,4632 NE Stallings Drive,,Nacogdoches,TX,75965,,Nacogdoches,936-558-6200,Intakes,936-634-5010,866-242-4556,http://myburke.org,31.6559161,-94.6496851,MH,2019-03-04 17:39:33.293
Rusk State Hospital,,805 North Dickinson Drive,,Rusk,TX,75785,,Cherokee,903-683-3421,,903-683-7400,,http://www.dshs.state.tx.us/mhhospitals/RuskSH,31.809566,-95.156311,MH,2017-02-27 11:25:37
Parkview Regional Hospital,,600 South Bonham Street,,Mexia,TX,76667,,Limestone,254-562-5332 x2021,,254-562-0408 x1989,,http://www.parkviewregional.com/,31.6738076,-96.4798396,MH,2019-02-22 09:00:13.553
Heart of Texas Region MHMR Center,Limestone County Center,700 West Highway 171,,Mexia,TX,76667,,Limestone,866-752-3451,,254-752-3451,,http://www.hotrmhmr.org,31.6963442,-96.5077693,MH,2019-02-07 13:46:57.664
Pegasus Schools Inc,,896 Robin Ranch Road,,Lockhart,TX,78644,,Caldwell,512-376-2101,,,,http://www.pegasusschool.net,29.838249,-97.679865,MH,2017-02-27 11:25:37
Louisiana Methodist Childrens Home,Family Plus Counseling,101 East Thomas Street,,Sulphur,LA,70663,,Calcasieu,337-263-7119,,,337-263-2189,http://www.lmch.org,30.2357369,-93.3771183,MH,2018-05-30 10:03:16.235
Central Texas Veterans HCS,Austin Outpatient Clinic,7901 Metropolis Drive,,Austin,TX,78744,,Travis,512-823-4040,,512-823-4000,,http://www.centraltexas.va.gov,30.2056688,-97.6905935,MH,2018-03-07 17:18:18.607
Seton Edgar B Davis Hospital,SEBD Heritage Program,130 Hays Street,,Luling,TX,78648,,Caldwell,830-875-7000,,,,http://www.cebd.org/,29.6730686,-97.6546884,MH,2019-02-22 08:45:10.019
Cross Creek Hospital,,8402 Cross Park Drive,,Austin,TX,78754,,Travis,512-215-3900,,,,http://www.crosscreekhospital.com,30.3379973,-97.6773213,MH,2018-04-05 11:53:04.479
Central Texas VA Healthcare System,Olin E Teague VA Center,1901 South 1st Street,,Temple,TX,76504,,Bell,800-423-2111,Intakes,254-743-2867 x42867,254-743-0040 x40040,http://www.centraltexas.va.gov/,31.0796315,-97.3484401,MH,2018-03-07 17:18:17.543
Scott and White Memorial Hospital,Outpatient Behavioral Health,2401 South 31st Street,,Temple,TX,76508,,Bell,254-724-2585,,,,http://www.bswhealth.com/pages/default.aspx,31.0776472,-97.3639792,MH,2019-03-04 17:39:56.488
Integral Care,,825 East Rundberg Lane,Suite E-2,Austin,TX,78753,,Travis,512-804-3900,,512-472-4357,,http://www.integralcare.org/content/integrated-care-clinics,30.3566706,-97.6868989,MH,2019-02-07 13:24:14.9
Bluebonnet Trails Community Services,Adult Clinic,1009 North Georgetown Street,,Round Rock,TX,78664,,Williamson,512-244-8480,,844-309-6385,,http://www.bbtrails.org,30.5168037,-97.6690874,MH,2018-05-02 12:47:45.649
Austin Lakes Hospital,Psychiatric Hospital,1025 East 32nd Street,,Austin,TX,78705,,Travis,512-544-5253,,,512-544-5255,http://www.austinlakeshospital.com/,30.28928,-97.724231,MH,2017-02-27 11:25:37
Settlement Home for Children,,1600 Payton Gin Road,,Austin,TX,78758,,Travis,512-836-2150,,,,http://www.settlementhome.org,30.3651564,-97.7134103,MH,2018-06-12 13:47:35.661
Hill Country Counseling,,1433 Fairfield Drive,,Austin,TX,78758,,Travis,512-491-8444,,,,http://www.hillcountrycmhc.com/,30.360575,-97.715613,MH,2017-02-27 11:25:37
ACCESS ,Jacksonville,1011 College Avenue,,Jacksonville,TX,75766,,Cherokee,903-586-5507,,903-589-9000,,http://www.accessmhmr.org,31.9518204,-95.2770007,MH,2017-04-05 12:39:42
Helping Hand Home for Children,,3804 Avenue B,,Austin,TX,78751,4906,Travis,512-459-3353,,512-600-7896,,http://www.helpinghandhome.org/,30.302166,-97.736266,MH,2017-02-27 11:25:37
Devereux Texas Treatment Network,,120 David Wade Drive,,Victoria,TX,77905,,Victoria,361-575-8271,,361-574-7208,,http://www.devereuxtx.org,28.7213607,-97.1580009,MH,2018-11-27 13:53:29.524
Austin State Hospital,,4110 Guadalupe Street,,Austin,TX,78751,4223,Travis,512-452-0381,,,,http://www.dshs.state.tx.us/mhhospitals/austinsh/,30.305843,-97.736207,MH,2017-02-27 11:25:37
Rock Springs,,700 SE Inner Loop,,Georgetown,TX,78626,,Williamson,512-819-9400,,,,http://www.rockspringshealth.com,30.6061184,-97.6737435,MH,2018-02-06 09:31:38.284
Seton Shoal Creek Hospital,,3501 Mills Avenue,,Austin,TX,78731,6309,Travis,512-324-2000,,,,http://www.seton.net/,30.3060903,-97.7483758,MH,2018-03-06 16:10:40.502
Cedar Crest Hospital and Resid Trt Ctr,,3500 South Interstate 35,,Belton,TX,76513,9426,Bell,844-763-3326,,254-939-2100,,http://www.cedarcresthospital.com/,31.020936,-97.4756699,MH,2017-02-27 11:25:37
Georgetown Behavioral Health Institute,,3101 South Austin Avenue,,Georgetown,TX,78626,7541,Williamson,512-819-1100,,512-819-1154,,http://www.georgetownbehavioral.com,30.6148893,-97.6806285,MH,2019-01-08 09:50:23.357
Austin Oaks Hospital,,1407 West Stassney Lane,,Austin,TX,78745,,Travis,512-440-4800,,,,http://austinoakshospital.com,30.2113495,-97.7926913,MH,2019-03-04 17:38:43.369
Calcasieu Oaks Behavioral Hospital,,2837 Ernest Street,Suite A,Lake Charles,LA,70601,8785,Calcasieu,337-439-8111,,,337-513-9293,http://,30.2035368,-93.223222,MH,2017-08-11 14:41:35.06
Disney and Associates,Counseling Services of Southwest LA,2711 Ernest Street,,Lake Charles,LA,70601,,Calcasieu,337-431-7194,,,,http://,30.2045,-93.2224729,MH,2017-02-27 11:25:37
Family and Youth Csl Agency,,220 Louie Street,,Lake Charles,LA,70601,,Calcasieu,337-436-9533,,,,http://www.fyca.org,30.2110678,-93.2223483,MH,2019-02-07 16:50:30.414
Lake Charles Memorial Hospital,Psychiatric Services,1701 Oak Park Boulevard,,Lake Charles,LA,70601,8911,Calcasieu,337-494-2185,,,337-480-7792,http://www.lcmh.com,30.204576,-93.197737,MH,2017-02-27 11:25:37
Oceans Behavioral Hospital,Lake Charles,4250 5th Avenue,,Lake Charles,LA,70607,3900,Calcasieu,337-474-7581,,,337-965-6535,http://oceanshealthcare.com/lake-charles,30.1829871,-93.189813,MH,2019-03-13 17:13:24.505
Bridgeway Psychiatric Center,,3451 5th Avenue,,Lake Charles,LA,70607,,Calcasieu,337-562-0211,,,,http://compasshealthcare.com/site.php,30.1942237,-93.1889891,MH,2019-03-04 11:48:43.259
Central Texas VA Healthcare System,Waco VA Medical Center,4800 Memorial Drive,,Waco,TX,76711,,McLennan,254-752-6581,,254-297-3050,,http://www.centraltexas.va.gov,31.5129761,-97.1639125,MH,2019-02-26 12:12:29.833
Heart of Texas Region MHMR Center,,110 South 12th Street,,Waco,TX,76701,,McLennan,254-752-3451,,,866-752-3451,http://www.hotrmhmr.org,31.5511095,-97.1377733,MH,2019-02-07 13:49:11.574
Heart of Texas Region MHMR Center,Klaras Center for Families,1105 Jefferson Avenue,,Waco,TX,76701,,McLennan,254-752-3451,,,866-752-3451,http://www.hotrmhmr.org,31.5548253,-97.1411119,MH,2019-02-07 13:49:51.634
Depaul Center,,301 Londonderry Drive,,Woodway,TX,76712,,McLennan,254-776-5970,,,,http://www.providence.net/depaul/,31.510996,-97.198353,MH,2017-02-27 11:25:37
Heart of Texas Region MHMR Center,Crisis Treatment Center,301 Londonderry Street,,Woodway,TX,76712,,McLennan,254-752-3451,,866-752-3451,,http://www.hotrmhmr.org,31.5113762,-97.198307,MH,2019-02-07 13:48:42.467
Family Counseling and Childrens Servs,,1600 Providence Drive,,Waco,TX,76707,,McLennan,254-313-4500,,,,http://www.wacofhc.org,31.5591331,-97.1530183,MH,2019-02-22 08:44:55.357
WellBridge Healthcare San Marcos,,1106 North IH 35,,San Marcos,TX,78666,,Hays,512-353-0194,,512-353-0194 x611,,http://www.oceanssanmarcos.com,29.8841743,-97.9180004,MH,2018-11-13 12:32:15.934
Oceans Behavioral Hospital,DeRidder,1420 Blankenship Drive,,Deridder,LA,70634,,Beauregard,337-460-9472,,,,http://oceanshealthcare.com/deridder,30.8418969,-93.3120602,MH,2019-03-13 17:10:48.819
Heart of Texas Region MHMR Center,Heart of Texas Counseling Center,2800 Lyle Avenue,,Waco,TX,76708,,McLennan,254-752-3451,,,866-752-3451,http://www.hotrmhmr.org,31.5614584,-97.1740337,MH,2019-02-07 13:22:19.682
San Marcos Treatment Center,,120 Bert Brown Street,,San Marcos,TX,78666,,Hays,512-396-8500 x3245,Intakes,512-396-8500 x3202,800-848-9090,http://sanmarcostc.com,29.8995914,-97.9274726,MH,2019-03-04 17:39:46.956
Waco Center for Youth,,3501 North 19th Street,,Waco,TX,76708,2007,McLennan,254-756-2171,Intakes,254-745-5302,254-745-5175,http://www.dshs.texas.gov/transition/statehospitals.aspx,31.579464,-97.1686047,MH,2019-03-04 17:39:58.481
Imperial Calcasieu Human Services,Beauregard Behavioral Health Clinic,106 West Port Street,,Deridder,LA,70634,,Beauregard,337-462-1641,,,,http://imcalhsa.org,30.8490423,-93.2865406,MH,2018-12-11 12:33:52.494
Guadalupe Regional Medical Center,,1215 East Court Street,,Seguin,TX,78155,,Guadalupe,830-401-1367,,,,http://www.grmedcenter.com/,29.569073,-97.947456,MH,2017-02-27 11:25:37
Cedar Crest Clinic,,3106 South WS Young Drive,Suite B-201,Killeen,TX,76542,2008,Bell,254-519-4162,,,,http://www.cedarcresthospital.com,31.0832785,-97.7209063,MH,2017-02-27 11:25:37
Bluebonnet Trails Community Services,Guadalupe County,1104 Jefferson Avenue,,Seguin,TX,78155,5910,Guadalupe,830-386-2700,,844-309-6385,,http://www.bbtrails.org,29.5674054,-97.9830432,MH,2018-12-11 11:47:39.974
Community Healthcore,Rusk County,209 North Main Street,,Henderson,TX,75652,,Rusk,903-657-7526,,800-446-8253,,http://www.communityhealthcore.com,32.1554335,-94.79995,MH,2019-02-07 13:27:54.761
VA North Texas HCS/Dallas VAMC,Tyler VA Clinic,7916 South Broadway,,Tyler,TX,75701,,Smith,903-266-5900,,,855-375-6930,http://www.northtexas.va.gov/locations/Broadway.asp,32.2622531,-95.3069199,MH,2019-02-26 12:14:12.013
Metroplex Pavilion Hospital,,2201 South Clear Creek Road,,Killeen,TX,76549,,Bell,254-628-1000,Intakes,254-394-3117,254-519-8196,http://www.adventhealth.com/hospital/adventhealth-central-texas,31.1133483,-97.8011834,MH,2019-03-04 17:40:00.53
Caring Choices of Leesville,,105 Belview Road,,Leesville,LA,71446,,Vernon,337-238-6431,,,,http://www.clhsd.org,31.1523808,-93.2633195,MH,2019-02-22 08:21:03.494
Upb New Life Childrens Treatment Ctr,,650 Scarborough Road,,Canyon Lake,TX,78133,,Comal,830-964-4390,Intakes,830-924-4390,830-302-6846,http://www.upbring.org/,29.8636071,-98.1804245,MH,2018-09-05 12:31:31.938
Andrews Center Behavioral Healthcare,,2323 West Front Street,,Tyler,TX,75702,,Smith,903-597-1351 x7314,Intakes,903-597-1351,800-374-6058,http://www.andrewscenter.com,32.346556,-95.326525,MH,2017-02-27 11:25:37
Community Healthcore,Panola County,1701 South Adams Street,Suite A,Carthage,TX,75633,3229,Panola,903-693-7811,,800-446-8253,,http://www.communityhealthcore.com,32.1372522,-94.3469293,MH,2019-02-07 13:27:40.277
Allen Parish Hospital,,108 North 6th Avenue,,Kinder,LA,70648,,Allen,337-738-2527,,337-738-2527 x473,,http://allenparishhospital.com,30.4915358,-92.851683,MH,2017-02-27 11:25:37
University of Texas Health Northeast,,11937 Highway 271,,Tyler,TX,75708,3154,Smith,903-877-7777 x5210,Intakes,903-877-7777,903-877-8520,http://www.uthct.edu,32.4257364,-95.2134455,MH,2017-02-27 11:25:37
Heart of Texas Region MHMR Center,Hill County Office,130 North Covington Street,,Hillsboro,TX,76645,,Hill,254-752-3451,,,866-752-3451,http://www.hotrmhmr.org,32.012463,-97.1311003,MH,2019-02-07 13:48:00.987
Allen Behvioral Health Clinic,,402 Industrial Drive,,Oberlin,LA,70655,,Allen,337-639-3001,,,,http://www.imcalhsa.org,30.62671862,-92.77439386,MH,2017-02-27 11:25:37
