name1,name2,city,state,zip,latitude,longitude
Michael E DeBakey VAMC,Mental Healthcare Line (116A),Houston,TX,77030,29.7001034,-95.3889654
Sun Behavioral Houston,,Houston,TX,77054,29.6907876,-95.4005815
Excel Center,,Katy,TX,77494,29.737515500000004,-95.77850140000001
Innerwisdom Inc,,Houston,TX,77025,29.666789,-95.43905699999999
Harris Center,Southeast Community Service Center,Houston,TX,77087,29.694993800000002,-95.32445809999999
Fort Bend District Office,,Stafford,TX,77477,29.6427777,-95.56878359999999
Westpark Springs Hospital,,Richmond,TX,77407,29.694336100000005,-95.7610277
Corpus Christi Medical Center,Northwest,Corpus Christi,TX,78410,29.782971000000003,-95.181288
Bayshore Medical Center,,Pasadena,TX,77504,29.661244399999998,-95.1837808
DePelchin Childrens Center,Richmond Campus,Richmond,TX,77469,29.577921999999997,-95.762254
Tri County Behavioral Healthcare,,Cleveland,TX,77327,30.334069,-95.06944200000001
Shiloh Treatment Center,,Manvel,TX,77578,29.518488,-95.352522
Excel Center at Friendswood,,Friendswood,TX,77546,29.534321999999996,-95.204374
Family Houston,Bay Area District Office,Houston,TX,77058,29.560162599999998,-95.1153189
UTMB Psychiatry,Webster Clinic,Webster,TX,77598,29.535518100000004,-95.12578459999999
New Dimensions Day Treatment Centers,,Houston,TX,77058,29.5475507,-95.0978196
Bayes Achievement Center,,Huntsville,TX,77340,30.666956,-95.511972
Devereux Foundation,,League City,TX,77573,29.506643,-95.106454
Tri County Behavioral Healthcare,,Liberty,TX,77575,30.076264000000002,-94.784234
Tri County Behavioral Healthcare,,Huntsville,TX,77340,30.690906599999998,-95.52693020000001
Gulf Coast Center,Northern Brazoria Comm Service Center,Alvin,TX,77511,29.411645899999996,-95.2432683
Gulf Coast Center,Mainland Community Service Center,Texas City,TX,77591,29.3794403,-94.9953292
Gulf Coast Center,Southern Brazoria Comm Service Center,Angleton,TX,77515,29.1820669,-95.43478879999999
Central Texas Veterans Healthcare Sys,Bryan/College Station CBOC,College Station,TX,77845,30.5833403,-96.2898005
Burke Center ,Polk County Family Csl Association,Livingston,TX,77351,30.733975,-94.94020520000001
Gulf Coast Center,,Galveston,TX,77550,29.306551399999996,-94.7970765
UTMB Outpatient Clinic,,Galveston,TX,77555,29.314861600000004,-94.7748219
University of TX Medical Branch Hosp,,Galveston,TX,77555,29.310749800000004,-94.7758738
Sweeny Community Hospital,Senior Horizons/Counseling Associates,Sweeny,TX,77480,29.0478738,-95.6917378
MEHOP Behavioral Health Clinic,,Bay City,TX,77414,28.9942447,-95.9704942
Matagorda Regional Medical Center,Behavioral Health,Bay City,TX,77414,28.980217,-95.991694
Spindletop Center,,Beaumont,TX,77701,30.0591748,-94.1252309
Baptist Hospitals of SE Texas ,Behavioral Health Center,Beaumont,TX,77701,30.072956899999998,-94.1225132
Spindletop Center Services,Hardin County,Silsbee,TX,77656,30.3416821,-94.1495418
Medical Center of Southeast Texas,,Port Arthur,TX,77640,29.935416600000003,-93.988752
Medical Center of Southeast Texas,Outpatient Behavioral Health Dept,Port Arthur,TX,77640,29.9347935,-93.9887197
Whispering Hills Achievement Center,,Flatonia,TX,78941,29.756177299999997,-97.04591490000001
Spindletop Center,South County Outpatient Services,Port Arthur,TX,77642,29.9339805,-93.95738979999999
Jackson County Hosp District,,Edna,TX,77957,28.969082,-96.635551
Spindletop Center,Orange,Orange,TX,77632,30.122587,-93.773499
Resolution Ranch Academy,,Cameron,TX,76520,30.8703511,-97.0307609
Texas VA Healthcare System,Palestine CBOC,Palestine,TX,75801,31.7343943,-95.6090087
ACCESS ,Palestine,Palestine,TX,75801,31.734196,-95.614674
Heart of Texas Region MHMR Center,Falls County Office,Marlin,TX,76661,31.307744899999996,-96.89314159999999
Gulf Bend MH/MR Center,,Victoria,TX,77904,28.8536164,-97.02023340000001
Heart of Texas Region MHMR Center,Freestone County Office,Fairfield,TX,75840,31.7267356,-96.17071379999999
Burke Center,Nacogdoches Mental Health Services ,Nacogdoches,TX,75965,31.655916100000002,-94.64968509999999
Rusk State Hospital,,Rusk,TX,75785,31.809565999999997,-95.156311
Parkview Regional Hospital,,Mexia,TX,76667,31.6738076,-96.47983959999999
Heart of Texas Region MHMR Center,Limestone County Center,Mexia,TX,76667,31.6963442,-96.50776929999999
Pegasus Schools Inc,,Lockhart,TX,78644,29.838248999999998,-97.679865
Louisiana Methodist Childrens Home,Family Plus Counseling,Sulphur,LA,70663,30.2357369,-93.37711829999999
Central Texas Veterans HCS,Austin Outpatient Clinic,Austin,TX,78744,30.2056688,-97.6905935
Seton Edgar B Davis Hospital,SEBD Heritage Program,Luling,TX,78648,29.673068599999997,-97.65468840000001
Cross Creek Hospital,,Austin,TX,78754,30.3379973,-97.6773213
Central Texas VA Healthcare System,Olin E Teague VA Center,Temple,TX,76504,31.0796315,-97.34844009999999
Scott and White Memorial Hospital,Outpatient Behavioral Health,Temple,TX,76508,31.0776472,-97.3639792
Integral Care,,Austin,TX,78753,30.3566706,-97.6868989
Bluebonnet Trails Community Services,Adult Clinic,Round Rock,TX,78664,30.5168037,-97.66908740000001
Austin Lakes Hospital,Psychiatric Hospital,Austin,TX,78705,30.289279999999998,-97.724231
Settlement Home for Children,,Austin,TX,78758,30.3651564,-97.7134103
Hill Country Counseling,,Austin,TX,78758,30.360575,-97.715613
ACCESS ,Jacksonville,Jacksonville,TX,75766,31.951820399999995,-95.2770007
Helping Hand Home for Children,,Austin,TX,78751,30.302165999999996,-97.736266
Devereux Texas Treatment Network,,Victoria,TX,77905,28.7213607,-97.1580009
Austin State Hospital,,Austin,TX,78751,30.305843,-97.736207
Rock Springs,,Georgetown,TX,78626,30.6061184,-97.6737435
Seton Shoal Creek Hospital,,Austin,TX,78731,30.306090299999997,-97.74837579999999
Cedar Crest Hospital and Resid Trt Ctr,,Belton,TX,76513,31.020936,-97.4756699
Georgetown Behavioral Health Institute,,Georgetown,TX,78626,30.614889299999998,-97.6806285
Austin Oaks Hospital,,Austin,TX,78745,30.2113495,-97.7926913
Calcasieu Oaks Behavioral Hospital,,Lake Charles,LA,70601,30.203536800000002,-93.22322199999999
Disney and Associates,Counseling Services of Southwest LA,Lake Charles,LA,70601,30.2045,-93.2224729
Family and Youth Csl Agency,,Lake Charles,LA,70601,30.211067800000002,-93.22234830000001
Lake Charles Memorial Hospital,Psychiatric Services,Lake Charles,LA,70601,30.204576,-93.197737
Oceans Behavioral Hospital,Lake Charles,Lake Charles,LA,70607,30.182987100000005,-93.189813
Bridgeway Psychiatric Center,,Lake Charles,LA,70607,30.194223699999995,-93.1889891
Central Texas VA Healthcare System,Waco VA Medical Center,Waco,TX,76711,31.5129761,-97.1639125
Heart of Texas Region MHMR Center,,Waco,TX,76701,31.551109499999995,-97.1377733
Heart of Texas Region MHMR Center,Klaras Center for Families,Waco,TX,76701,31.5548253,-97.14111190000001
Depaul Center,,Woodway,TX,76712,31.510996000000002,-97.198353
Heart of Texas Region MHMR Center,Crisis Treatment Center,Woodway,TX,76712,31.511376199999997,-97.198307
Family Counseling and Childrens Servs,,Waco,TX,76707,31.5591331,-97.1530183
WellBridge Healthcare San Marcos,,San Marcos,TX,78666,29.8841743,-97.91800040000001
Oceans Behavioral Hospital,DeRidder,Deridder,LA,70634,30.8418969,-93.3120602
Heart of Texas Region MHMR Center,Heart of Texas Counseling Center,Waco,TX,76708,31.561458399999996,-97.17403370000001
San Marcos Treatment Center,,San Marcos,TX,78666,29.8995914,-97.92747259999999
Waco Center for Youth,,Waco,TX,76708,31.579464,-97.1686047
Imperial Calcasieu Human Services,Beauregard Behavioral Health Clinic,Deridder,LA,70634,30.8490423,-93.2865406
Guadalupe Regional Medical Center,,Seguin,TX,78155,29.569073,-97.947456
Cedar Crest Clinic,,Killeen,TX,76542,31.0832785,-97.7209063
Bluebonnet Trails Community Services,Guadalupe County,Seguin,TX,78155,29.567405400000002,-97.9830432
Community Healthcore,Rusk County,Henderson,TX,75652,32.1554335,-94.79995
VA North Texas HCS/Dallas VAMC,Tyler VA Clinic,Tyler,TX,75701,32.2622531,-95.3069199
Metroplex Pavilion Hospital,,Killeen,TX,76549,31.113348300000002,-97.8011834
Caring Choices of Leesville,,Leesville,LA,71446,31.152380800000003,-93.2633195
Upb New Life Childrens Treatment Ctr,,Canyon Lake,TX,78133,29.8636071,-98.1804245
Andrews Center Behavioral Healthcare,,Tyler,TX,75702,32.346556,-95.326525
Community Healthcore,Panola County,Carthage,TX,75633,32.1372522,-94.3469293
Allen Parish Hospital,,Kinder,LA,70648,30.4915358,-92.851683
University of Texas Health Northeast,,Tyler,TX,75708,32.4257364,-95.21344549999999
Heart of Texas Region MHMR Center,Hill County Office,Hillsboro,TX,76645,32.012463000000004,-97.1311003
Allen Behvioral Health Clinic,,Oberlin,LA,70655,30.62671862,-92.77439386
Compass Health,Jennings Senior Care Hospital,Jennings,LA,70546,30.240713399999997,-92.6618605
Jefferson Davis Behav Health Clinic,,Jennings,LA,70546,30.232114000000003,-92.65528459999999
Andrews Center Behavioral Healthcare,,Canton,TX,75103,32.5428978,-95.87548790000001
Contemporary Family Services Inc,,Mansfield,LA,71052,32.035920000000004,-93.7074368
Laurel Ridge Treatment Center,,San Antonio,TX,78259,29.6031738,-98.43842420000001
Northeast Baptist,Geriatric Behavioral Health,San Antonio,TX,78217,29.519091999999997,-98.429478
Audubon Behav Healthcare of Longview,DBA Oceans Hospital of Longview,Longview,TX,75605,32.5372019,-94.73462459999999
Hector Garza Center,,San Antonio,TX,78232,29.6069287,-98.48266020000001
Rehab of Cenla,Oakdale,Oakdale,LA,71463,30.8173355,-92.6510895
Magnolia Behavioral Hospital,,Longview,TX,75605,32.564351,-94.7641025
Center for Healthcare Services,Adult Mental Health,San Antonio,TX,78202,29.4287538,-98.4538343
Heart of Texas Region MHMR Center,Bosque County Office,Meridian,TX,76665,31.9227133,-97.652843
Andrews Center Behavioral Healthcare,,Mineola,TX,75773,32.6684023,-95.4965545
Center for Healthcare Services,Children Behavioral Health,San Antonio,TX,78210,29.4013815,-98.47684620000001
Nix Medical Center,Heritage Center,San Antonio,TX,78205,29.425582799999997,-98.48946579999999
Family Service Association of,San Antonio Inc,San Antonio,TX,78212,29.4397125,-98.4982673
Center for Healthcare Services,Crisis/Jail Diversion Program,San Antonio,TX,78207,29.4319347,-98.5050202
Center for Healthcare Services,,San Antonio,TX,78207,29.425803000000002,-98.504536
Nix Behavioral Health ,,San Antonio,TX,78230,29.515141999999997,-98.53290799999999
Center for Healthcare Services,Northwest Clinic,San Antonio,TX,78229,29.5053332,-98.561805
Clarity Child Guidance Center,,San Antonio,TX,78229,29.519965999999997,-98.57623000000001
Community Healthcore,,Marshall,TX,75670,32.5476913,-94.3716638
Methodist Specialty and,Transplant Hospital,San Antonio,TX,78229,29.5140654,-98.576149
Southwest General Hospital,Behavioral Health,San Antonio,TX,78224,29.3532906,-98.5454083
NLHSD Natchioches,,Natchitoches,LA,71457,31.728613899999996,-93.0576199
Natchitoches Regional Medical Center,Behavioral Health,Natchitoches,LA,71457,31.753465000000002,-93.07910600000001
San Antonio Behavioral Healthcare Hosp,,San Antonio,TX,78240,29.5162178,-98.6051725
Center for Healthcare Services,Justice Programs,San Antonio,TX,78211,29.323607899999995,-98.5533037
Crowley Behavioral Health Clinic,,Crowley,LA,70526,30.201332,-92.3917865
CHRISTUS Coushatta Healthcare Ctr,,Coushatta,LA,71019,32.020562,-93.34404599999999
Savoy Medical Ctr New Horizons,,Mamou,LA,70554,30.641050099999998,-92.4184178
Lakes Regional MH/MR Center,DBA Lakes Regional Community Center,Terrell,TX,75160,32.7252175,-96.2764752
Compass Behavioral Center,Mamou,Mamou,LA,70554,30.6426348,-92.41048909999999
Terrell State Hospital,,Terrell,TX,75160,32.7413272,-96.26389920000001
Behavioral Health Ctr of Nueces County,Mental Health Services,Corpus Christi,TX,78404,27.7749152,-97.4039463
Nueces Center for Mental Health and,Intellectual Disabilities,Corpus Christi,TX,78404,27.773170399999998,-97.40301099999999
Christus Spohn Memorial Hospital,Care Integrated Behavioral Health,Corpus Christi,TX,78405,27.7800347,-97.4161098
Abrom Kaplan Memorial Hospital,Behavioral Health Unit,Kaplan,LA,70548,30.007571000000002,-92.29650620000001
Pecan Valley Centers,,Cleburne,TX,76031,32.3688819,-97.39446740000001
Valley Coastal Bend Healthcare System,Corpus Christi Specialty Clinic,Corpus Christi,TX,78405,27.762255100000004,-97.46476899999999
Hickory Trail Hospital,,Desoto,TX,75115,32.6280627,-96.86496269999999
Dallas Behavioral Healthcare Hospital,,Desoto,TX,75115,32.6423021,-96.87501929999999
Physicians Behavioral Hospital,,Shreveport,LA,71103,32.472751,-93.77075400000001
VA North Texas HCS/Dallas VAMC,,Dallas,TX,75216,32.693296000000004,-96.7915235
Child and Family Guidance Center,Northeast Dallas/Mesquite,Mesquite,TX,75149,32.7665395,-96.5999466
Metrocare Services,Lancaster/Kiest OP Clinic,Dallas,TX,75216,32.7070959,-96.8009268
Ville Platte Behavioral Health Center,,Ville Platte,LA,70586,30.687303999999997,-92.279101
Community Enrichment Prog LLC,,Shreveport,LA,71101,32.4963214,-93.74765450000001
Longleaf Hospital,,Alexandria,LA,71303,31.2920452,-92.50501870000001
Behavioral Medicine Unit of Acadia,Saint Landry Hospital,Church Point,LA,70525,30.395347100000002,-92.2112161
Brentwood Hospital,Brentwood Behavioral Health Company,Shreveport,LA,71101,32.5026171,-93.7391166
Nueces Center for Mental Health,Robstown Outpatient Clinic,Robstown,TX,78380,27.787052799999998,-97.6502219
Contemporary Family Service Inc,,Shreveport,LA,71107,32.5385611,-93.7634757
Shreveport Behavioral Health Clinic,,Shreveport,LA,71107,32.5397034,-93.7645588
Child and Family Guidance Center,South Dallas,Dallas,TX,75208,32.7447655,-96.8253412
Centro de Mi Salud LLC,,Dallas,TX,75208,32.7420475,-96.8333917
Christus Saint Frances Cabrini Hosp,,Alexandria,LA,71301,31.283325800000004,-92.4620057
Oceans Behavioral Hospital,Alexandria,Alexandria,LA,71303,31.323661199999997,-92.47985109999999
Red River Behavioral Center LLC,,Bossier City,LA,71111,32.5459999,-93.70453149999999
Caring Choices Central Louisiana,Human Services District,Pineville,LA,71360,31.3236761,-92.4362045
Texas Health Huguley,Behavioral Health,Fort Worth,TX,76115,32.5866542,-97.31689140000002
Department of Veterans,Mental Health (116A),Pineville,LA,71360,31.3553571,-92.43713570000001
Childrens Health System of Texas,Childrens Medical Center Dallas,Dallas,TX,75235,32.8095005,-96.83766899999999
UT Southwestern University Hospital,Zale Lipshy,Dallas,TX,75390,32.81067,-96.836651
Dr Joseph Henry Tyler Jr BH Clinic,,Lafayette,LA,70506,30.219942,-92.057224
Community Support Services of,Louisiana,Bunkie,LA,71322,30.9595707,-92.1966665
Opelousas Mental Health Center,,Opelousas,LA,70570,30.533004,-92.084186
Lena Pope Home Inc,,Arlington,TX,76011,32.743300399999995,-97.1136887
Vermilion Behavioral Health System,,Lafayette,LA,70507,30.271327799999998,-92.0459197
Texas Health Behavioral Health Dallas,,Dallas,TX,75231,32.8794434,-96.7631714
Oceans Behavioral Hospital,,Opelousas,LA,70570,30.508174699999998,-92.07287779999999
Texas Health Behavioral Health Dallas,,Dallas,TX,75231,32.879312199999994,-96.7664675
Texas Health Arlington Memorial Hosp,Behavioral Health,Arlington,TX,76012,32.749098499999995,-97.1159177
Millwood Hospital,,Arlington,TX,76011,32.7509201,-97.1124275
Millwood Hospital,The Excel Center of Arlington,Arlington,TX,76011,32.751950300000004,-97.1132769
VA North Texas Healthcare System,Dallas VAMC/Fort Worth OP Clinic,Fort Worth,TX,76119,32.6699924,-97.299563
Beacon Behavioral Hospital,,Bunkie,LA,71322,30.953037,-92.17728290000001
Bunkie General Hospital DPP,PACES,Bunkie,LA,71322,30.9531495,-92.17638640000001
MH/MR/TC Circle Drive Clinic,,Fort Worth,TX,76119,32.6736854,-97.30149770000001
VA Healthcare Systems,Lafayette Community Based Outpatient,Lafayette,LA,70506,30.213511800000003,-92.0289644
Compass Behavioral Center,Lafayette,Lafayette,LA,70501,30.222171999999997,-92.02261259999999
Rehabilitation Service of Acadiana,,Lafayette,LA,70501,30.2219244,-92.0225935
North Fork Educational Center,,Wylie,TX,75098,32.966202,-96.53491899999999
Mesa Springs,,Fort Worth,TX,76132,32.6398018,-97.41276409999999
Medical City Green Oaks Hospital,,Dallas,TX,75251,32.9128472,-96.77151459999999
Compass Behavioral Center,Lafayette,Lafayette,LA,70508,30.155437300000003,-91.9920258
Texas Health Behavioral Health,Southwest,Fort Worth,TX,76132,32.653325800000005,-97.4200324
Oceans Behavioral Hospital,Broussard,Broussard,LA,70518,30.137710499999997,-91.9806477
New Horizons Ranch and Center,The Ranch,Goldthwaite,TX,76844,31.454683799999998,-98.7085047
WellBridge Healthcare of Fort Worth,,Fort Worth,TX,76132,32.6801752,-97.41912420000001
MH/MR/TC Fair West Clinic,Mental Health Services,Fort Worth,TX,76104,32.727524800000005,-97.3303061
JPS Health Network ,JPS Behavioral Center/Northeast,Euless,TX,76040,32.816922999999996,-97.136984
MH/MR/TC Homeless Services Clinic,CJ Impact,Fort Worth,TX,76102,32.7458142,-97.31462890000002
Methodist Richardson Medical Center,,Richardson,TX,75080,32.974359,-96.726628
Cook Childrens Medical Center,,Fort Worth,TX,76104,32.736965000000005,-97.341537
Glen Oaks Hospital,,Greenville,TX,75401,33.123115000000006,-96.082102
Lakes Regional MH/MR Center,Lakes Regional Community Center,Greenville,TX,75401,33.1267631,-96.1060307
Lena Pope Home Inc,,Fort Worth,TX,76107,32.7286851,-97.3918681
Medical City North Hills Hospital,,North Richland Hills,TX,76180,32.8292376,-97.21352409999999
MH/MR/TC Mid Cities Clinic,,North Richland Hills,TX,76180,32.8298078,-97.2205936
Genesis Behavioral Hospital,,Breaux Bridge,LA,70517,30.293426899999996,-91.9061839
Child and Family Guidance Center,Collin County/Plano,Plano,TX,75093,33.0113045,-96.77082740000002
VA North Texas Healthcare Systems,Dallas VAMC Plano CBOC,Plano,TX,75075,33.017979600000004,-96.7643176
Medical City Green Oaks Hospital,Plano Outpatient Services,Plano,TX,75093,33.020323499999996,-96.768547
Titus Regional Medical Center,,Mount Pleasant,TX,75455,33.1756887,-94.97153840000001
MHMR Tarrant Northwest Clinic,,Fort Worth,TX,76106,32.791986,-97.3756083
Changes Outpaitent of Plano,Offsite Location of Carrollton Springs,Plano,TX,75074,33.056101500000004,-96.6884151
Caring Choices of Marksville,,Marksville,LA,71351,31.116596,-92.067541
WellBridge Healthcare of Greater,Dallas,Plano,TX,75093,33.0386278,-96.8243812
LifePath Systems,,Plano,TX,75025,33.075330199999996,-96.7095882
New Iberia Behavioral Health Clinic,,New Iberia,LA,70560,30.003501,-91.84413599999999
Presbyterian Hospital of Plano,Seay Behavioral Health Center,Plano,TX,75093,33.045120000000004,-96.833495
Hunt Regional Outpatient Behav Health,,Commerce,TX,75428,33.2303921,-95.8961184
Springstone Inc,Carrollton Springs,Carrollton,TX,75010,33.0458895,-96.868473
Keys for Sober Living LLC,,New Iberia,LA,70560,30.005892,-91.82007
Denton County MH/MR Center,Lewisville Outpatient Clinic,Lewisville,TX,75067,33.012409000000005,-96.99245390000002
Minden Behavioral Health Clinic,,Minden,LA,71055,32.622593,-93.265915
Millwood Hospital,Excel Center of Lewisville,Lewisville,TX,75067,33.043932,-97.024582
Medical Center of McKinney  ,Wysong Campus Behav Hlth Servs,McKinney,TX,75070,33.1982313,-96.6395973
Haven Behavioral Hospital of Frisco,,Frisco,TX,75034,33.1510247,-96.8378252
Pecan Valley Centers for Behav and,Developmental Healthcare,Weatherford,TX,76086,32.7403708,-97.77252940000001
Pecan Valley Centers for Behav and ,Developmental Healthcare,Weatherford,TX,76086,32.740501699999996,-97.77766609999999
Hardtner Medical Center,,Olla,LA,71465,31.898690999999996,-92.228034
VA North Texas Healthcare System,Denton CBOC,Denton,TX,76205,33.1937506,-97.1054475
Springhill Medical Center,,Springhill,LA,71075,33.010286,-93.44389
Denton County MH/MR Center,Denton Outpatient Clinic,Denton,TX,76201,33.218369300000006,-97.1649276
Claiborne Memorial Medical Center,Senior Care Center,Homer,LA,71040,32.7918133,-93.055718
University Behavioral Health of Denton,,Denton,TX,76201,33.231,-97.15643399999999
Allegiance Health Center of Ruston,,Ruston,LA,71270,32.513944699999996,-92.63155
Rehabilitation Services NELA LLC,Ruston,Ruston,LA,71270,32.529452899999995,-92.63435059999999
Ruston Behavioral Health Clinic,,Ruston,LA,71270,32.5308842,-92.62989920000001
Pecan Valley Centers for Behavioral,and Developmental Healthcare,Mineral Wells,TX,76067,32.8023559,-98.147085
Serenity Springs Specialty Hospital,,Ruston,LA,71270,32.576523,-92.602168
Margaret Dumas Mental Health Ctr,Point Coupee MH Outreach Clinic,New Roads,LA,70760,30.684164000000003,-91.4632238
Texoma Community Center,Fannin County Mental Health Center,Bonham,TX,75418,33.57948,-96.164596
VA North Texas Healthcare System,Outpatient Mental Health Clinic,Bonham,TX,75418,33.5847774,-96.16657790000001
Columbia Behavioral Health Clinic,,Columbia,LA,71418,32.0856864,-92.0902338
Helen Farabee Mental Health Center,Wise County MH Center,Decatur,TX,76234,33.234283399999995,-97.5861393
Southwest Arkansas Csl and MHC,,Texarkana,AR,71854,33.4601498,-94.01100799999999
Therapeutic Family Services Inc,,Lewisville,AR,71845,33.3609918,-93.57828690000001
WNJ Regional Medical Center,Behavioral Health Services,Sherman,TX,75090,33.637285600000006,-96.6239419
Southwest Arkansas Csl and MHC,Lewisville Clinic,Lewisville,AR,71845,33.3658313,-93.57828570000001
Texoma Medical Center (TMC),Behavioral Health Center,Sherman,TX,75092,33.6634654,-96.6132988
South Arkansas Regional Health Ctr,Magnolia Division,Magnolia,AR,71753,33.2639976,-93.24341070000001
Crossroads Behavioral Health Services,Uvalde County Hospital Authority,Uvalde,TX,78801,29.216306,-99.76682
Texoma Community Center of,Grayson County,Sherman,TX,75092,33.6805008,-96.7279918
Region XI Southwest MS,Wilkinson County MH Center,Woodville,MS,39669,31.08227728,-91.30655229
NEDHSA,Monroe Behavioral Health Center,Monroe,LA,71202,32.4511799,-92.1109301
University Health Conway,,Monroe,LA,71202,32.4502368,-92.10533000000001
Saint Mary Behavioral Health Center,,Morgan City,LA,70380,29.694494399999996,-91.1759712
Allegiance Behavioral Hlth Centers of,Monroe,West Monroe,LA,71291,32.514055600000006,-92.1616401
Baton Rouge General Medical Center,,Baton Rouge,LA,70806,30.4487163,-91.1540593
Baton Rouge Behavioral Hospital,,Baton Rouge,LA,70806,30.448031,-91.14768000000001
Seaside Health System,,Baton Rouge,LA,70806,30.449648,-91.144901
Margaret Dumas Mental Health Ctr,Capital Area Human Services District,Baton Rouge,LA,70807,30.5219311,-91.1520176
Capital Area Human Services District,Center for Adult Behavioral Health,Baton Rouge,LA,70806,30.444939,-91.141637
Family Service of Greater Baton Rouge,,Baton Rouge,LA,70808,30.417571000000002,-91.137638
Cypress Grove Behavioral Health,,Monroe,LA,71201,32.507942,-92.117515
Glenwood Regional Medical Center,Behavioral Health Center,West Monroe,LA,71291,32.5484316,-92.14903100000001
Texoma Community Center,Cooke County Mental Health Center,Gainesville,TX,76240,33.6260583,-97.1336309
Union General Hospital,Intensive Outpatient Program (IOP),Farmerville,LA,71241,32.7877365,-92.3919305
Our Lady of the Lake Physician Group,Family Center Outpatient Mental Health,Baton Rouge,LA,70808,30.404507799999998,-91.10849540000001
Our Lady of The Lake,Regional Medical Center,Baton Rouge,LA,70809,30.403958000000003,-91.1070679
Our Lady of Lake Regional Med Ctr,Tau Center,Baton Rouge,LA,70809,30.402294800000004,-91.1018988
Southeast Louisiana VA HCS,Baton Rouge VA Clinic,Baton Rouge,LA,70809,30.403537100000005,-91.09999029999999
Merit Health of Natchez,Behavioral Health Unit,Natchez,MS,39120,31.527863,-91.3913983
Immanuels Healing Center,,Monroe,LA,71201,32.529807,-92.082511
Region XI Southwest MS,Adams County MH Center,Natchez,MS,39120,31.559886199999998,-91.40533590000001
Legacy Behavioral Health of LA LLC,,Baton Rouge,LA,70810,30.3721624,-91.0851531
River Place Psychosocial Rehab,,Natchez,MS,39120,31.560444,-91.403171
Cognitive Development Center,,Monroe,LA,71203,32.5119661,-92.05240909999999
Border Region MH/MR,Hebbronville,Hebbronville,TX,78361,27.309755900000003,-98.67751750000001
Beacon Behavioral Hospital,IOP Baton Rouge,Baton Rouge,LA,70816,30.4272967,-91.07084870000001
Carl Albert CMHC,,Idabel,OK,74745,33.8809701,-94.7958661
Oceans Behavioral Hospital,Baton Rouge,Baton Rouge,LA,70815,30.4587903,-91.0612876
Kiamichi Youth Services for,McCurtain County Inc,Idabel,OK,74745,33.891577000000005,-94.8259338
Rehab Service of NE LA LLC,Winnsboro,Winnsboro,LA,71295,32.1558468,-91.71536800000001
Franklin Medical Center,Winsboro Behavioral Health IOP Prog,Winnsboro,LA,71295,32.1582404,-91.7051799
WHC Behav and Mental Health Servs,,Winnsboro,LA,71295,32.1582545,-91.7051809
Donaldsonville Mental Health,,Donaldsonville,LA,70346,30.1043607,-91.0009847
Carl Albert CMHC,,Hugo,OK,74743,34.0106584,-95.5057484
Wadley Regional Medical Center,Behavioral Health,Hope,AR,71801,33.6490999,-93.5868952
Southwest Arkansas Csl and MHC,,Hope,AR,71801,33.64979,-93.58435390000001
Saint James Behavioral Health Hospital,,Gonzales,LA,70737,30.203951,-90.951808
Therapeutic Family Services Inc,,Hope,AR,71801,33.655534499999995,-93.5886846
